frequency_hz,amplitude
0.000000000000000000e+00,5.082020041428990040e-03
1.000000000000000056e-01,1.272803805410080147e-01
2.000000000000000111e-01,1.916983737706241808e-01
3.000000000000000444e-01,1.041457619620875380e-01
4.000000000000000222e-01,3.277395621490132582e-02
5.000000000000000000e-01,7.553304323392834307e-02
6.000000000000000888e-01,8.226380506623438837e-02
7.000000000000000666e-01,7.035333312477673462e-02
8.000000000000000444e-01,1.168286741723905814e-01
9.000000000000000222e-01,5.347443183955873092e-02
1.000000000000000000e+00,4.504032204376318821e-02
1.100000000000000089e+00,4.661743697486665783e-02
1.200000000000000178e+00,4.497129589124618937e-02
1.300000000000000044e+00,4.908736240513834892e-02
1.400000000000000133e+00,1.381887966017694980e-01
1.500000000000000000e+00,1.455533451536474843e-01
1.600000000000000089e+00,1.024417740354109790e-01
1.700000000000000178e+00,5.117904632155009792e-02
1.800000000000000044e+00,5.101423226179589709e-02
1.900000000000000133e+00,1.344212512314641242e-02
2.000000000000000000e+00,4.789172432735024770e-02
2.100000000000000089e+00,5.012507273673953018e-02
2.200000000000000178e+00,5.461879321488029293e-02
2.300000000000000266e+00,4.168433897267663502e-02
2.400000000000000355e+00,1.685644485648105095e-02
2.500000000000000000e+00,6.151692124177710920e-03
2.600000000000000089e+00,5.168173520392690262e-02
2.700000000000000178e+00,1.683234605258864813e-01
2.800000000000000266e+00,1.916623088205246517e-01
2.900000000000000355e+00,5.095995967811804694e-02
3.000000000000000000e+00,3.360301743959689252e-02
3.100000000000000089e+00,5.045523566490540263e-02
3.200000000000000178e+00,4.378424016027027132e-02
3.300000000000000266e+00,8.726181593559181882e-02
3.400000000000000355e+00,3.878719425231371559e-02
3.500000000000000000e+00,8.978044491567534202e-02
3.600000000000000089e+00,1.234956012160750433e-01
3.700000000000000178e+00,5.092737484479482185e-02
3.800000000000000266e+00,1.045341093911318076e-01
3.900000000000000355e+00,1.002802949347079975e-01
4.000000000000000000e+00,6.444769592877691577e-02
4.100000000000000533e+00,1.726620441572986053e-01
4.200000000000000178e+00,1.323176194473086320e-01
4.299999999999999822e+00,5.227154115908879545e-02
4.400000000000000355e+00,1.052046845123972701e-01
4.500000000000000000e+00,1.958147817554398706e-01
4.600000000000000533e+00,1.506031622155281635e-01
4.700000000000000178e+00,4.936138191541505210e-02
4.800000000000000711e+00,9.603579069018380876e-02
4.900000000000000355e+00,5.216816039248314135e-02
5.000000000000000000e+00,7.450943259371135829e-02
5.100000000000000533e+00,5.684570503848052070e-02
5.200000000000000178e+00,5.302153970561982593e-02
5.300000000000000711e+00,8.328797042014624008e-02
5.400000000000000355e+00,1.575515026566734478e-01
5.500000000000000000e+00,1.654337822584241446e-01
5.600000000000000533e+00,2.122831471349558019e-02
5.700000000000000178e+00,1.074105133724197469e-01
5.800000000000000711e+00,8.485058635212358591e-02
5.900000000000000355e+00,9.563462951911697041e-02
6.000000000000000000e+00,5.447803381754646318e-02
6.100000000000000533e+00,6.093149409146558088e-02
6.200000000000000178e+00,8.311498535964904899e-02
6.300000000000000711e+00,1.607438901031924827e-01
6.400000000000000355e+00,1.496239627373772141e-01
6.500000000000000000e+00,4.090329327275574189e-02
6.600000000000000533e+00,1.233837536659641437e-01
6.700000000000000178e+00,8.894163309938081519e-02
6.800000000000000711e+00,3.267384351885984500e-02
6.900000000000000355e+00,6.198726053692869831e-02
7.000000000000000000e+00,2.863542412541986854e-02
7.100000000000000533e+00,8.754668364691089999e-02
7.200000000000000178e+00,1.895741659507368948e-02
7.300000000000000711e+00,3.741161793683241837e-02
7.400000000000000355e+00,8.330055412233608458e-02
7.500000000000000000e+00,2.123720672515737595e-01
7.600000000000000533e+00,2.286410730099375510e-01
7.700000000000000178e+00,1.064246223902626659e-01
7.800000000000000711e+00,8.749460696113153801e-02
7.900000000000000355e+00,8.532576197655457328e-02
8.000000000000000000e+00,8.074896272188500368e-02
8.099999999999999645e+00,6.566688170817430725e-02
8.200000000000001066e+00,4.298013727527947442e-02
8.300000000000000711e+00,1.336179582120133880e-01
8.400000000000000355e+00,1.263367729374827442e-01
8.500000000000000000e+00,4.689256228368927915e-02
8.599999999999999645e+00,1.610970002527270170e-02
8.700000000000001066e+00,7.617102302878771269e-02
8.800000000000000711e+00,1.747093623054087330e-01
8.900000000000000355e+00,1.728970443827929082e-01
9.000000000000000000e+00,8.410277098433857623e-02
9.099999999999999645e+00,8.630693153016373576e-02
9.200000000000001066e+00,1.466481902743639876e-01
9.300000000000000711e+00,1.233478723547184880e-01
9.400000000000000355e+00,1.127322565461381793e-01
9.500000000000000000e+00,1.227389335492056199e-01
9.600000000000001421e+00,1.160263972589993947e-01
9.700000000000001066e+00,1.233483436533035216e-01
9.800000000000000711e+00,6.743974437260898125e-02
9.900000000000000355e+00,2.427598270139336156e-02
1.000000000000000000e+01,9.840214287018382577e-02
1.010000000000000142e+01,1.591812611791630638e-01
1.020000000000000107e+01,1.255152474175938171e-01
1.030000000000000071e+01,3.972863296616123419e-02
1.040000000000000036e+01,1.789413824464072475e-02
1.050000000000000000e+01,1.343567186379762413e-01
1.060000000000000142e+01,1.128399272567311429e-01
1.070000000000000107e+01,1.329111738102640161e-01
1.080000000000000071e+01,1.514180261464744270e-01
1.090000000000000036e+01,8.143716295311370645e-02
1.100000000000000000e+01,1.294503533348961011e-01
1.110000000000000142e+01,7.361455058226361314e-02
1.120000000000000107e+01,4.958582070344291076e-02
1.130000000000000071e+01,6.584903178572724947e-02
1.140000000000000036e+01,1.020197083038505287e-01
1.150000000000000000e+01,8.112104367699371488e-02
1.160000000000000142e+01,9.555866342739463559e-02
1.170000000000000107e+01,6.332550185360846795e-02
1.180000000000000071e+01,1.075613026990899918e-01
1.190000000000000036e+01,1.267251382777435376e-01
1.200000000000000000e+01,1.626252773206577074e-01
1.210000000000000142e+01,1.132979510955245267e-01
1.220000000000000107e+01,4.871653191724070048e-02
1.230000000000000071e+01,5.209470899909398461e-02
1.240000000000000036e+01,8.788388329412884226e-02
1.250000000000000000e+01,1.393272114522631500e-01
1.260000000000000142e+01,7.186602847475311029e-02
1.270000000000000107e+01,5.692069079601292519e-02
1.280000000000000071e+01,7.937607665577073313e-02
1.290000000000000036e+01,8.030334413776599178e-02
1.300000000000000000e+01,7.272956305490548001e-02
1.310000000000000142e+01,1.670589927390037366e-01
1.320000000000000107e+01,2.663909200619717366e-01
1.330000000000000071e+01,1.231101079565617290e-01
1.340000000000000036e+01,6.726138182920794739e-02
1.350000000000000000e+01,2.968033167109406997e-02
1.360000000000000142e+01,6.820793077532290305e-02
1.370000000000000107e+01,1.438858896668486764e-01
1.380000000000000071e+01,1.580698112739719052e-01
1.390000000000000036e+01,8.599003117800058105e-02
1.400000000000000000e+01,6.859257199241282354e-02
1.410000000000000142e+01,9.761444867202392905e-02
1.420000000000000107e+01,6.044950085999507838e-02
1.430000000000000071e+01,9.493482410892647994e-02
1.440000000000000036e+01,1.034512509000733993e-01
1.450000000000000000e+01,4.496090320798609014e-02
1.460000000000000142e+01,1.753115538367656934e-01
1.470000000000000107e+01,1.318656925437427796e-01
1.480000000000000071e+01,4.240760378867564767e-02
1.490000000000000036e+01,4.268954822012869382e-02
1.500000000000000000e+01,8.587604376224960978e-02
1.510000000000000142e+01,9.176830916889625045e-02
1.520000000000000107e+01,5.158323686514109524e-02
1.530000000000000071e+01,1.137996511289166568e-01
1.540000000000000036e+01,1.752121310964999679e-01
1.550000000000000000e+01,1.725274487822842928e-01
1.560000000000000142e+01,1.105504322192799871e-01
1.570000000000000107e+01,8.120372957822159787e-02
1.580000000000000071e+01,8.964572183759268731e-02
1.590000000000000036e+01,1.125306635026330909e-01
1.600000000000000000e+01,1.476501400518882845e-01
1.610000000000000142e+01,1.704616442425850031e-01
1.619999999999999929e+01,9.261578135403504553e-02
1.630000000000000071e+01,3.779866761873096337e-02
1.640000000000000213e+01,5.145593569554333252e-02
1.650000000000000000e+01,1.248642154874590043e-01
1.660000000000000142e+01,6.797295604470618424e-02
1.669999999999999929e+01,1.673910669905886162e-01
1.680000000000000071e+01,1.808979175749759749e-01
1.690000000000000213e+01,9.158687435027790258e-02
1.700000000000000000e+01,4.424023378060296108e-02
1.710000000000000142e+01,9.576474534925438764e-03
1.719999999999999929e+01,3.893312131492561445e-02
1.730000000000000071e+01,2.820909938954885982e-02
1.740000000000000213e+01,3.682172450605734892e-02
1.750000000000000000e+01,9.838377637493822547e-02
1.760000000000000142e+01,3.566053196262067293e-02
1.769999999999999929e+01,8.107054092549280389e-02
1.780000000000000071e+01,7.825735281029823354e-02
1.790000000000000213e+01,1.871302623802215473e-02
1.800000000000000000e+01,7.561128717273918332e-02
1.810000000000000142e+01,5.348821999408081423e-02
1.819999999999999929e+01,2.582558599714263048e-02
1.830000000000000071e+01,1.567647253228563950e-02
1.840000000000000213e+01,1.897647726952351316e-02
1.850000000000000000e+01,5.495112433602301200e-02
1.860000000000000142e+01,1.062575636480989488e-01
1.869999999999999929e+01,6.084316257110396892e-02
1.880000000000000071e+01,1.104271065005167085e-01
1.890000000000000213e+01,1.144002444260375922e-01
1.900000000000000000e+01,8.827662221623491789e-02
1.910000000000000142e+01,7.972541712905056865e-02
1.920000000000000284e+01,2.226861781827219403e-02
1.930000000000000071e+01,1.276269285523962960e-01
1.940000000000000213e+01,1.248739025621885268e-01
1.950000000000000000e+01,3.956016936339074030e-02
1.960000000000000142e+01,7.983320567537732781e-02
1.970000000000000284e+01,1.234630457893899219e-01
1.980000000000000071e+01,2.928873037819295852e-02
1.990000000000000213e+01,4.474756561384810039e-02
2.000000000000000000e+01,4.919058142836067737e-02
2.010000000000000142e+01,3.253726838975685293e-02
2.020000000000000284e+01,1.151215994605842979e-01
2.030000000000000071e+01,1.251780137131810466e-01
2.040000000000000213e+01,5.669701111783444908e-02
2.050000000000000000e+01,8.346975304077150493e-02
2.060000000000000142e+01,6.680882666846528484e-02
2.070000000000000284e+01,6.553378218307807923e-02
2.080000000000000071e+01,7.375851467143290652e-02
2.090000000000000213e+01,7.247135579007560335e-02
2.100000000000000000e+01,1.314907958498577056e-01
2.110000000000000142e+01,1.146130571499522632e-01
2.120000000000000284e+01,4.023305350909551353e-02
2.130000000000000071e+01,6.817663159792543282e-02
2.140000000000000213e+01,9.173799869410376173e-02
2.150000000000000000e+01,5.272027018127771469e-02
2.160000000000000142e+01,4.726510597934781288e-02
2.170000000000000284e+01,7.902351451248748604e-03
2.180000000000000071e+01,9.189017137686086856e-02
2.190000000000000213e+01,1.420588762617766010e-01
2.200000000000000000e+01,1.283864826737721176e-01
2.210000000000000142e+01,3.276731969140003059e-02
2.220000000000000284e+01,4.770493458102724460e-02
2.230000000000000071e+01,4.881794972739976479e-02
2.240000000000000213e+01,8.047289149758977966e-02
2.250000000000000000e+01,6.171526541218828182e-02
2.260000000000000142e+01,6.625747553386122923e-02
2.270000000000000284e+01,7.760428978316456783e-02
2.280000000000000071e+01,8.400066926933423550e-02
2.290000000000000213e+01,1.154313483689478337e-01
