frequency_hz,amplitude
0.000000000000000000e+00,8.208522024711538368e-04
1.000000000000000056e-01,7.923020142150484502e-02
2.000000000000000111e-01,6.830526561471396418e-02
3.000000000000000444e-01,4.208693483815672404e-02
4.000000000000000222e-01,5.706879721578390907e-02
5.000000000000000000e-01,1.499008083000344105e-01
6.000000000000000888e-01,1.455341431724996026e-01
7.000000000000000666e-01,8.436256773103435747e-02
8.000000000000000444e-01,1.398749472600796795e-01
9.000000000000000222e-01,1.466054463319579060e-01
1.000000000000000000e+00,5.788460634402482763e-02
1.100000000000000089e+00,4.158365300990552599e-02
1.200000000000000178e+00,1.211235553834271866e-01
1.300000000000000044e+00,1.005572872952218977e-01
1.400000000000000133e+00,6.203718860480240266e-02
1.500000000000000000e+00,3.533691350887947780e-02
1.600000000000000089e+00,7.192360641540161692e-02
1.700000000000000178e+00,1.036264918920519057e-01
1.800000000000000044e+00,1.171520071500019022e-01
1.900000000000000133e+00,9.181683565869896979e-02
2.000000000000000000e+00,7.596266141534779859e-02
2.100000000000000089e+00,4.286243172198384022e-02
2.200000000000000178e+00,9.117348759802795799e-02
2.300000000000000266e+00,2.881421227064009244e-02
2.400000000000000355e+00,1.481197204826034675e-01
2.500000000000000000e+00,1.216246864373300290e-01
2.600000000000000089e+00,3.012151987964074157e-02
2.700000000000000178e+00,5.112230267833352965e-02
2.800000000000000266e+00,7.078779537581117443e-02
2.900000000000000355e+00,1.442422017837811099e-01
3.000000000000000000e+00,1.051956680333605287e-01
3.100000000000000089e+00,5.582277373908353657e-02
3.200000000000000178e+00,1.413772502232641115e-01
3.300000000000000266e+00,1.568182370477428644e-01
3.400000000000000355e+00,3.130574307350243723e-02
3.500000000000000000e+00,1.496556287462130208e-01
3.600000000000000089e+00,7.288687968404866657e-02
3.700000000000000178e+00,4.715698197315516121e-02
3.800000000000000266e+00,3.223627600488770256e-02
3.900000000000000355e+00,5.534173720863162088e-02
4.000000000000000000e+00,9.358134801341556896e-02
4.100000000000000533e+00,7.559754082169625744e-02
4.200000000000000178e+00,1.446090468580031943e-02
4.299999999999999822e+00,3.738327494024348135e-02
4.400000000000000355e+00,1.050403247444303134e-01
4.500000000000000000e+00,1.343292051211570914e-01
4.600000000000000533e+00,8.831273806040684793e-02
4.700000000000000178e+00,1.605649667662041591e-01
4.800000000000000711e+00,1.934053722992470359e-01
4.900000000000000355e+00,1.612083415182723189e-01
5.000000000000000000e+00,1.594054805325995638e-01
5.100000000000000533e+00,5.654447766835805911e-02
5.200000000000000178e+00,7.829138676048004453e-02
5.300000000000000711e+00,5.323562837955144594e-02
5.400000000000000355e+00,3.092894804900856928e-02
5.500000000000000000e+00,3.740731994899351709e-02
5.600000000000000533e+00,3.394100446795062648e-02
5.700000000000000178e+00,5.791015967908808015e-02
5.800000000000000711e+00,8.511345931017504085e-02
5.900000000000000355e+00,9.667275682296538886e-02
6.000000000000000000e+00,1.350271860282125369e-01
6.100000000000000533e+00,1.175951525799766167e-01
6.200000000000000178e+00,7.848707904739193886e-02
6.300000000000000711e+00,1.672103445663529822e-02
6.400000000000000355e+00,9.826194469328011771e-02
6.500000000000000000e+00,7.944667981084556352e-02
6.600000000000000533e+00,1.819275955856842347e-02
6.700000000000000178e+00,9.674003842741114856e-02
6.800000000000000711e+00,3.808758305611030515e-02
6.900000000000000355e+00,9.530001002574249591e-02
7.000000000000000000e+00,5.801787527466666095e-02
7.100000000000000533e+00,6.777333455957226804e-02
7.200000000000000178e+00,1.541171818397776283e-01
7.300000000000000711e+00,1.786558698836774040e-01
7.400000000000000355e+00,1.266059617687052552e-01
7.500000000000000000e+00,6.767397536209902864e-02
